Employee_ID,Gender,Job_Level_after_FY20_promotions,New_hire_FY20?,FY20_Performance_Rating,Promotion_in_FY21,In_base_group_for_Promotion_FY21,Target_hire_balance,FY20_leaver,In_base_group_for_turnover_FY20,Department_01.07.2020,Leaver_FY,Job_Level_after_FY21_promotions,Last_Department_in_FY20,FTE_group,Time_type,Department_&_JL_group_PRA_status,Department_&_JL_group_for_PRA,Job_Level_group_PRA_status,Job_Level_group_for_PRA,Time_in_Job_Level_01.07.2020,Job_Level_before_FY20_promotions,Promotion_in_FY20,FY19_Performance_Rating,Age_group,Age_01.07.2020,Nationality_1,Region_group_nationality_1,Broad_region_group_nationality_1,Last_hire_date,Years_since_last_hire,Rand
1,Male,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,3,6 - Junior Officer,N,3,30 to 39,37,Spain,Europe,Europe,01-04-2017,3,0.177803983
2,Female,4 - Manager,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,0,30 to 39,37,Germany,Europe,Europe,01-04-2017,3,0.579314564
3,Male,2 - Director,N,2,No,Yes,0.5,No,Y,Strategy,not leave,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.887682536
4,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,HR,not leave,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,Germany,Europe,Europe,01-04-2012,8,0.053886816
5,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.97168074
6,Female,4 - Manager,Y,0,No,No,0.5,No,N,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,0,NA,N,0,40 to 49,42,Italy,Europe,Europe,01-04-2020,0,0.751626957
7,Male,3 - Senior Manager,Y,0,No,No,0.5,No,N,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,35,Italy,Europe,Europe,01-04-2020,0,0.039491104
8,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,HR,not leave,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,5 - Senior Officer & HR,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.358403731
9,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,United States,Americas,Elsewhere,01-04-2019,1,0.424061337
10,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.326921896
11,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.233392851
12,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Strategy,not leave,5 - Senior Officer,Strategy,Full Time,Full Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,France,Europe,Europe,01-04-2017,3,0.373502826
13,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2015,5,0.466066611
14,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,20,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.366442957
15,Male,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,1,6 - Junior Officer,N,0,20 to 29,28,France,Europe,Europe,01-04-2019,1,0.885474627
16,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Strategy,not leave,4 - Manager,Strategy,Full Time,Full Time,Inconclusive,4 - Manager & Strategy,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,34,Germany,Europe,Europe,01-04-2015,5,0.304530468
17,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.89890325
18,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,0.8,Part Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,32,Italy,Europe,Europe,01-04-2016,4,0.891498628
19,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,30 to 39,30,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.614708124
20,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,32,Germany,Europe,Europe,01-04-2012,8,0.275495125
21,Male,3 - Senior Manager,N,3,No,No,0.5,Yes,Y,Strategy,FY20,not promotion,Strategy,Full Time,Full Time,NA,NA,NA,NA,7,3 - Senior Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.568095804
22,Male,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.330890515
23,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,2 - Director,Internal Services,Full Time,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,5,2 - Director,N,0,40 to 49,44,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.619890475
24,Male,5 - Senior Officer,N,4,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,26,United Kingdom,Europe,Europe,01-04-2014,6,0.409372966
25,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,France,Europe,Europe,01-04-2014,6,0.758322013
26,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.924391997
27,Female,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.958851534
